,Unnamed: 0,question,answer,cluster,index
3888,3888,A store owner ordered 20 cases of bottles of soda in April and 30 cases in May. There are 20 bottles per case. How many bottles of soda did the store owner order in April and May?,"The store owner ordered a total of 20 + 30 = <<20+30=50>>50 cases.
This is equal to 50 x 20 = <<50*20=1000>>1000 bottles of soda.
#### 1000",0,3120
1977,1977,"Charles can earn $15 per hour when he housesits and $22 per hour when he walks a dog. If he housesits for 10 hours and walks 3 dogs, how many dollars will Charles earn?","Housesitting = 15 * 10 = <<15*10=150>>150
Dog walking = 22 * 3 = <<22*3=66>>66
Total earned is 150 + 66 = $<<150+66=216>>216
#### 216",1,3118
6165,6165,"Tamtam collected 65 shells in total. She got 13 purple shells, 8 pink shells, 18 yellow shells, and 12 blue shells. The remaining shells are color orange. How many orange shells are there?","Tamtam has a total of 13 + 8 + 18 + 12 = <<13+8+18+12=51>>51 shells that are not orange.
Therefore, Tamtam has a total of 65 – 51 = <<65-51=14>>14 orange shells.
#### 14",2,2802
232,232,"Jolene and Phil have four children, each with the same birthday.  They gave birth to their first child exactly 15 years ago.  They gave birth to their second child exactly one year after the birth of their first child.  They gave birth to their third child on the fourth birthday of their second child. Two years after the birth of their third child, they gave birth to their fourth child.  How old, in years, is their fourth child?","Their 1st child was born 15 years ago, and therefore is <<15=15>>15 years old.
Their 2nd child was born 1 year after their 15-year-old child, and therefore is 15-1=<<15-1=14>>14 years old.
Their 3rd child was born 4 years after their 14-year-old child, and therefore is 14-4=10 years old.
Their 4th child was born 2 years after their 10-year-old child, and therefore is 10-2=8 years old.
#### 8",3,4149
3521,3521,"Will's breakfast supplied him 900 calories of energy. Then he decided to jog for half an hour, which used up 10 calories of energy per minute. What is Will's net calorie intake after jogging?","Will jogged for 60/2 = <<60/2=30>>30 minutes.
He was able to use up 10 x 30 = <<10*30=300>>300 calories for jogging.
The net calorie intake of Will after jogging is 900 - 300 = <<900-300=600>>600.
#### 600",4,3543
4398,4398,An adult panda can eat 138 pounds of bamboo each day. A baby panda can eat 50 pounds of bamboo a day.  How many pounds of bamboo will the pandas eat in a week?,"An adult panda will eat 138 pounds of bamboo * 7 days = <<138*7=966>>966 pounds.
A baby panda will eat 50 pounds * 7 days = <<50*7=350>>350 pounds.
Total the pandas will eat 966 pounds + 350 = <<966+350=1316>>1316 pounds of bamboo.
#### 1316",0,1298
6392,6392,Ariana is past due on three bills. The first bill for $200 charges 10% simple interest for each overdue month and it's 2 months overdue. The second bill for $130 charges a flat $50 late fee per month and is 6 months overdue. The last bill is two months late and charges a $40 fee the first month overdue and twice that fee the second month overdue and is for $444. How much does Ariana owe in total?,"First find the monthly late fee for the first bill: $200 * 10% = $<<200*10*.01=20>>20
Then multiply that by the number of months the bill is overdue: $20/month * 2 months = $<<20*2=40>>40
Then find the total late fee for the second bill the same way: $50/month * 6 months = $<<50*6=300>>300
Then find the third bill's second late fee: 2 * $40 = $<<2*40=80>>80
Then add all the bill amounts and late fees to find the total cost: $40 + $200 + $300 + $130 + $40 + $80 + $444 = $<<40+200+300+130+40+80+444=1234>>1234
#### 1234",1,2779
3893,3893,"Rocco stores his coins in piles of 10 coins each. He has 4 piles of quarters, 6 piles of dimes, 9 piles of nickels, and 5 piles of pennies. How much money does Rocco have?","Each pile has 10 coins, so he has:
10 * 4 * $.25 = $<<10*4*.25=10.00>>10.00 worth of quarters,
10 * 6 * $.10 = $<<10*6*.10=6.00>>6.00 worth of dimes,
10 * 9 * $.05 = $<<10*9*.05=4.50>>4.50 worth of nickels, and
10 * 5 * $.01 = $<<10*5*.01=0.50>>0.50 worth of pennies.
Altogether he has $10.00 + $6.00 + $4.50 + $0.50 = $<<10+6+4.5+0.5=21.00>>21.00
#### 21",2,171
3678,3678,Tom plants a tree that is 1 year old and 5 feet tall.  It gains 3 feet per year.  How old is it when it is 23 feet tall?,"It has grown 23-5=<<23-5=18>>18 feet
So it is 18/3=<<18/3=6>>6 years older
That means it is 6+1=<<6+1=7>>7 years old
#### 7",3,2473
6895,6895,"John and James decided to have a dance-off.  John danced for 3 hours and then another 5 hours after taking a 1-hour break.  James danced the whole time John was dancing and resting, and then another 1/3 times more hours.  How long was their combined dancing time without including  John's break time?","John dances 3+5=<<3+5=8>>8 hours
John's total time is 3+5+1=<<3+5+1=9>>9 hours
James dances 9/3=<<9/3=3>>3 hours longer than that
So James dances 9+3=<<9+3=12>>12 hours
So the total dancing time is 8+12=<<8+12=20>>20 hours
#### 20",4,4946
