,id,question,answer,facts,decomposition,cluster,index
225,6316b9ccfc0c645aae30,Is All Purpose Flour safe for someone who has celiac disease?,No,"['All purpose flour has about 9% gluten in it.', 'When someone with Celiac disease eats gluten, their body has an immune response that attacks their small intestine.']","['What do people with celiac disease have to avoid?', 'Is #1 absent from all purpose flour?']",0,820
569,6f0b33d71d2e65d3b376,Did a Polish poet write sonnets about Islamic religion?,Yes,"['Adam Mickiewicz was a Polish poet. ', ""Adam Mickiewicz 's sonnet sequence focuses heavily on the culture and Islamic religion of the Crimean Tatars.""]","[""What were the major focus of Adam Mickiewicz's sonnets?"", 'Is #1 about Islamic religion?', 'Was Adam Mickiewicz a Polish poet?', 'Are #2 and #3 positive?']",1,382
1826,3b3765fab920695e5387,Would a black widow woman have use for peaches?,Yes,"['A black widow woman refers to a woman who murders her husbands for money and remarries.', 'Peach pits contain amygdalin, a type of cyanide.', 'Cyanide is poisonous to humans.']","['What is a black widows main goal?', 'What do peach pits contain?', 'If a human ate #2, would #1 occur?']",2,502
987,02fe9cc089adf6f19d22,Is the tree species that the name Leipzig refers to an evergeen tree?,No,"['Leipzig is derived from the Slavic word Lipsk', 'Lipsk means ""settlement where the linden trees stand""', 'Linden trees are deciduous trees']","['Which species of tree is mentioned in the meaning of the name (of a city) Leipzig?', 'Classifying by seasonal traits, what kind of tree is #1?', 'Is being evergreen a characteristic of #2?']",3,1585
73,fdeec181aeee06303113,Are you likely to find a crucifix in Karachi?,No,"['The crucifix is a symbol of Christianity', ""The vast majority of Pakistan's population is Muslim""]","['What religion does a crucifix symbolize?', 'What is the main religion observed in Karachi, Pakistan?', 'Is #1 the same as #2?']",4,997
506,261863cb4eeef4df279d,Would you hire someone with dyscalculia to do surveying work?,No,"['Dyscalculia is a learning disability in math. People with dyscalculia have trouble with math at many levels. ', 'Surveyors work with elements of geometry, trigonometry, regression analysis, physics, engineering, metrology, programming languages, and the law. ', 'Geometry and trigonometry are types of advanced mathematics.']","['What do people with dyscalculia struggle with?', 'What skills are necessary to be a competent surveyor?', 'Is #1 not listed in #2?']",0,348
636,c51fd5841358ded6eaec,Were the Ten commandments the part of the bible that Jewish people do not believe in?,No,"['The Jewish religion regards the Old Testament as their holy book.', 'The New Testament of the bible is not acknowledged by Jewish religious people.', 'The Ten Commandments are in the Old Testamanet.']","['What parts of the Bible do Jews not accept?', 'What part of the Bible are the Ten Commandments in?', 'Is #2 also listed in #1?']",1,1390
1457,3301cea644c68aa24894,"If you were at an Apple store, would most of the computers be running Ubuntu?",No,"['Apple stores stock only Mac brand computers.', 'Mac computers come preinstalled with the latest iOS.']","['Which operating system do Apple computers run on?', 'Is #1 the same as Ubuntu?']",2,249
50,f318d0f8f873ce921ac9,Is it okay to lie after taking an oath in a court of law?,No,"['In a court of law, lying under oath is considered perjury. ', 'Perjury is considered a crime.']","['When you lie in court, what is that considered?', 'Is #1 legal?']",3,1697
9,decb9886ca17f7af209d,Is the language used in Saint Vincent and the Grenadines rooted in English?,Yes,"['The primary language spoken in Saint Vincent and the Grenadines is Vincentian Creole.', 'Vincentian Creole is English-based, with elements of French, Antillean Creole, and indigenous South American and African languages.']","['What language is used in Saint Vincent and the Grenadines?', 'Is #1 based in English?']",4,335
388,9f43aedfec93ab7c6cc7,Do Shivambu practitioners believe ammonia is unhealthy?,No,"[""Shivambu is another term for 'Urine Therapy', an alternative belief about healing with urine."", 'Human urine contains ammonia.', 'Shivambu practitioners believe that ingesting urine is healthy.']","['What is another term for Shivambu?', 'What did #1 believe could have healing properties?', 'Is #2 void of ammonia?']",0,105
1059,ed0ae39d6a7399f4a5a3,Did Richard Wagner support the Nazis?,No,"['Richard Wagner died in 1883.', 'The Nazi Party was established in 1919.']","['When did Richard Wagner die?', 'When was the Nazi Party formed?', 'Is #2 before #1?']",1,1073
2078,ddfbe25915ba85ef4716,Could Rhode Island sink into the Bohai Sea?,Yes,"['The Bohai Sea is 30,000 square miles', 'Rhode Island is 1,214 square miles']","['How many square miles is the Bohai Sea?', 'How many square miles is Rhode Island?', 'Is #1 greater than or equal to #2?']",2,607
1501,690fdd980370f3145504,Are twinkies considered artisan made products?,No,"['Twinkies are mass produced in multiple commercial bakeries.', 'In bakeries, Twinkies are made by machines.']","['How are artisan-made products made?', 'How are Twinkies produced?', 'Does #2 match with #1?']",3,203
1482,3295844627a9bd1b9135,Was Harry Potter a better investment than The Matrix for Warner Bros.?,Yes,"['Warner Bros. distributes several movie franchises including The Matrix, Harry Potter, and The Dark Knight.', 'The Matrix had 2 sequels.', 'Harry Potter had 7 sequels and several spin-offs.', 'Harry Potter and the Deathly Hallows – Part 2 is Warner Bros. highest grossing film worldwide with a box office gross of $1,342,932,398.']","['How much did the Harry Potter (film series) gross?', 'How much did the The Matrix (franchise) gross?', 'Is #1 greater than #2?']",4,1731
1884,26cfd3b238056cc1dc82,Can vitamin C rich fruits be bad for health?,Yes,"['Oranges are fruits that are rich in vitamin C.', 'Oranges are very acidic fruits that can wear down tooth enamel.', 'Too much Vitamin C can cause nausea and diarrhea.']","['Which vitamin are oranges rich in?', 'Is #1 the same as vitamin C?', ""Can excess of #1 be harmful to a person's health?"", 'Can the acidity of oranges have adverse effects on human consumers?', 'Are #2, #3 and #4 positive?']",0,1099
