,question,choices,answer,unit,table_title,table,table_for_pd,row_num,column_num,solution,ques_type,ans_type,grade,split,cluster,index
12249,Some students compared how many blocks they live from school. What is the mean of the numbers?,,7,,Blocks from school,"Name | Number of blocks
Steven | 3
Albert | 1
Ted | 3
Erin | 5
Ross | 18
Bert | 13
Paul | 6","{'Name': ['Steven', 'Albert', 'Ted', 'Erin', 'Ross', 'Bert', 'Paul'], 'Number of blocks': ['3', '1', '3', '5', '18', '13', '6']}",8,2,"Read the numbers from the table.

3, 1, 3, 5, 18, 13, 6

First, count how many numbers are in the group.

There are 7 numbers.

Now add all the numbers together:

3 + 1 + 3 + 5 + 18 + 13 + 6 = 49

Now divide the sum by the number of numbers:

49 ÷ 7 = 7

The mean is 7.",free_text,integer_number,5,train,0,7651
7837,A bakery recorded how many cupcakes it sold in the past 3 days. How many cupcakes in total did the bakery sell on Tuesday and Thursday?,,258,cupcakes,Cupcakes sold,"Day | Number of cupcakes
Tuesday | 147
Wednesday | 683
Thursday | 111","{'Day': ['Tuesday', 'Wednesday', 'Thursday'], 'Number of cupcakes': ['147', '683', '111']}",4,2,"Find the numbers in the table.

Tuesday: 147
Thursday: 111

Now add: 147 + 111 = 258.

The bakery sold 258 cupcakes on Tuesday and Thursday.",free_text,integer_number,3,train,1,10727
35134,How much money does Deion need to buy a poetry book and a textbook?,,26.30,$,,"textbook | $12.79
poetry book | $13.51
science book | $11.55
history book | $15.49
crossword puzzle book | $24.85","{'Column 1': ['textbook', 'poetry book', 'science book', 'history book', 'crossword puzzle book'], 'Column 2': ['$12.79', '$13.51', '$11.55', '$15.49', '$24.85']}",5,2,"Add the price of a poetry book and the price of a textbook:

$13.51 + $12.79 = $26.30

Deion needs $26.30.",free_text,decimal_number,5,train,2,712
25916,"Look at the table. Then answer the question. At a price of $755, is there a shortage or a surplus?","['shortage', 'surplus']",shortage,,,"Price | Quantity demanded | Quantity supplied
$615 | 17,000 | 8,800
$685 | 13,900 | 9,400
$755 | 10,800 | 10,000
$825 | 7,700 | 10,600
$895 | 4,600 | 11,200","{'Price': ['$615', '$685', '$755', '$825', '$895'], 'Quantity demanded': ['17,000', '13,900', '10,800', '7,700', '4,600'], 'Quantity supplied': ['8,800', '9,400', '10,000', '10,600', '11,200']}",6,3,"At the price of $755, the quantity demanded is greater than the quantity supplied. There is not enough of the good or service for sale at that price. So, there is a shortage.
",multi_choice,boolean_text,5,train,3,14957
2663,Look at the following schedule. Alan just missed the 12.45 P.M. bus at the famous bridge. What time is the next bus?,"['1:30 P.M.', '10:45 A.M.', '2:15 P.M.', '12:45 P.M.']",1:30 P.M.,,Tour bus schedule,"old building | 8:00 A.M. | 10:00 A.M. | 10:15 A.M. | 11:00 A.M.
university campus | 8:45 A.M. | 10:45 A.M. | 11:00 A.M. | 11:45 A.M.
shopping district | 9:30 A.M. | 11:30 A.M. | 11:45 A.M. | 12:30 P.M.
the riverfront | 9:45 A.M. | 11:45 A.M. | 12:00 P.M. | 12:45 P.M.
famous bridge | 10:30 A.M. | 12:30 P.M. | 12:45 P.M. | 1:30 P.M.
landmark sculpture | 11:15 A.M. | 1:15 P.M. | 1:30 P.M. | 2:15 P.M.
the aquarium | 12:15 P.M. | 2:15 P.M. | 2:30 P.M. | 3:15 P.M.
the zoo | 1:00 P.M. | 3:00 P.M. | 3:15 P.M. | 4:00 P.M.","{'Column 1': ['old building', 'university campus', 'shopping district', 'the riverfront', 'famous bridge', 'landmark sculpture', 'the aquarium', 'the zoo'], 'Column 2': ['8:00 A.M.', '8:45 A.M.', '9:30 A.M.', '9:45 A.M.', '10:30 A.M.', '11:15 A.M.', '12:15 P.M.', '1:00 P.M.'], 'Column 3': ['10:00 A.M.', '10:45 A.M.', '11:30 A.M.', '11:45 A.M.', '12:30 P.M.', '1:15 P.M.', '2:15 P.M.', '3:00 P.M.'], 'Column 4': ['10:15 A.M.', '11:00 A.M.', '11:45 A.M.', '12:00 P.M.', '12:45 P.M.', '1:30 P.M.', '2:30 P.M.', '3:15 P.M.'], 'Column 5': ['11:00 A.M.', '11:45 A.M.', '12:30 P.M.', '12:45 P.M.', '1:30 P.M.', '2:15 P.M.', '3:15 P.M.', '4:00 P.M.']}",8,5,"Find 12:45 P. M. in the row for the famous bridge.

Look for the next bus in that row.

The next bus is at 1:30 P. M.",multi_choice,extractive_text,4,train,4,9204
27372,Each aquarium has 5 yellow fish. How many yellow fish are in 3 aquariums?,,15,yellow fish,,"Number of aquariums | Number of yellow fish
1 | 5
2 | 10
3 | ?","{'Number of aquariums': ['1', '2', '3'], 'Number of yellow fish': ['5', '10', '?']}",4,2,Count by fives. Use the chart: there are 15 yellow fish in 3 aquariums.,free_text,integer_number,1,train,0,1423
21630,"Riley kept a tally of the number of emails she received each day for a week. According to the table, what was the rate of change between Tuesday and Wednesday?",,1,emails per day,Emails Riley received,"Day | Emails
Monday | 6
Tuesday | 6
Wednesday | 7
Thursday | 7
Friday | 5","{'Day': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'Emails': ['6', '6', '7', '7', '5']}",6,2,"Plug the numbers into the formula for rate of change and simplify.
Rate of change
 = \frac{change in value}{change in time}
 = \frac{7 emails - 6 emails}{1 day}
 = \frac{1 email}{1 day}
 = 1 email per day
The rate of change between Tuesday and Wednesday was 1 email per day.",free_text,integer_number,7,train,1,15492
2069,How much more does a brass clip cost than a gold tack?,,0.38,$,,"red thumbtack | $0.13
flat-head bolt | $0.21
brass clip | $0.48
gold tack | $0.10
ball of twine | $0.27
piece of rope | $0.21","{'Column 1': ['red thumbtack', 'flat-head bolt', 'brass clip', 'gold tack', 'ball of twine', 'piece of rope'], 'Column 2': ['$0.13', '$0.21', '$0.48', '$0.10', '$0.27', '$0.21']}",6,2,"Subtract the price of a gold tack from the price of a brass clip.

$0.48 - $0.10 = $0.38

A brass clip costs $0.38 more than a gold tack.",free_text,decimal_number,4,train,2,1299
10810,Look at this table. Is this relation a function?,"['yes', 'no']",no,,,"x | y
9 | 9
9 | 12
8 | 6","{'x': ['9', '9', '8'], 'y': ['9', '12', '6']}",4,2,"Look at the x-values in the table.

The x-value 9 is paired with multiple y-values, so the relation is not a function.",multi_choice,boolean_text,8,train,3,4863
38066,Look at the following schedule. When does the train depart from Oakland?,"['9:30 A.M.', '9:45 A.M.', '7:15 A.M.', '8:25 A.M.']",9:45 A.M.,,Train schedule,"Location | Arrive | Depart
Fairfax | 7:00 A.M. | 7:15 A.M.
Springdale | 8:25 A.M. | 8:35 A.M.
Oakland | 9:30 A.M. | 9:45 A.M.
Newton | 11:25 A.M. | 11:35 A.M.
Winchester | 1:00 P.M. | 1:15 P.M.
Clarksville | 2:40 P.M. | 2:45 P.M.
Springtown | 4:20 P.M. | 4:30 P.M.
Greenpoint | 5:35 P.M. | 5:50 P.M.
Hampton | 7:25 P.M. | 7:40 P.M.
Hillsboro | 8:15 P.M. | 8:25 P.M.","{'Location': ['Fairfax', 'Springdale', 'Oakland', 'Newton', 'Winchester', 'Clarksville', 'Springtown', 'Greenpoint', 'Hampton', 'Hillsboro'], 'Arrive': ['7:00 A.M.', '8:25 A.M.', '9:30 A.M.', '11:25 A.M.', '1:00 P.M.', '2:40 P.M.', '4:20 P.M.', '5:35 P.M.', '7:25 P.M.', '8:15 P.M.'], 'Depart': ['7:15 A.M.', '8:35 A.M.', '9:45 A.M.', '11:35 A.M.', '1:15 P.M.', '2:45 P.M.', '4:30 P.M.', '5:50 P.M.', '7:40 P.M.', '8:25 P.M.']}",11,3,"Find Oakland on the schedule. Find the departure time for Oakland.

Oakland: 9:45 A. M.",multi_choice,extractive_text,3,train,4,1893
939,Keenan's coach wrote down how many kilometers he had run over the past 5 days. What is the mean of the numbers?,,3,,Kilometers run,"Day | Kilometers
Tuesday | 4
Wednesday | 0
Thursday | 6
Friday | 4
Saturday | 1","{'Day': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'Kilometers': ['4', '0', '6', '4', '1']}",6,2,"Read the numbers from the table.

4, 0, 6, 4, 1

First, count how many numbers are in the group.

There are 5 numbers.

Now add all the numbers together:

4 + 0 + 6 + 4 + 1 = 15

Now divide the sum by the number of numbers:

15 ÷ 5 = 3

The mean is 3.",free_text,integer_number,7,train,0,9244
7036,Finn's class recorded how many cans of food each student collected for their canned food drive. Who collected the fewest cans?,"['Finn', 'Roxanne', 'Omar', 'Maria']",Roxanne,,Cans of food collected,"Name | Number of cans of food
Finn | 75
Roxanne | 74
Omar | 79
Maria | 76","{'Name': ['Finn', 'Roxanne', 'Omar', 'Maria'], 'Number of cans of food': ['75', '74', '79', '76']}",5,2,"Find the least number in the table. Remember to compare the numbers starting with the highest place value. The least number is 74.

Now find the corresponding name. Roxanne corresponds to 74.",multi_choice,extractive_text,2,train,1,11327
4440,Clara has $37.00. Does she have enough to buy a yellow dress and a red sweater?,"['yes', 'no']",yes,,,"pair of sweat pants | $19.00
pair of brown pants | $29.00
red sweater | $12.00
yellow dress | $23.00","{'Column 1': ['pair of sweat pants', 'pair of brown pants', 'red sweater', 'yellow dress'], 'Column 2': ['$19.00', '$29.00', '$12.00', '$23.00']}",4,2,"Add the price of a yellow dress and the price of a red sweater:

$23.00 + $12.00 = $35.00

$35.00 is less than $37.00. Clara does have enough money.",multi_choice,boolean_text,3,train,2,12941
28926,"Look at the table. Then answer the question. At a price of $1,150, is there a shortage or a surplus?","['shortage', 'surplus']",surplus,,,"Price | Quantity demanded | Quantity supplied
$1,000 | 19,800 | 3,100
$1,050 | 16,200 | 6,900
$1,100 | 12,600 | 10,700
$1,150 | 9,000 | 14,500
$1,200 | 5,400 | 18,300","{'Price': ['$1,000', '$1,050', '$1,100', '$1,150', '$1,200'], 'Quantity demanded': ['19,800', '16,200', '12,600', '9,000', '5,400'], 'Quantity supplied': ['3,100', '6,900', '10,700', '14,500', '18,300']}",6,3,"At the price of $1,150, the quantity demanded is less than the quantity supplied. There is too much of the good or service for sale at that price. So, there is a surplus.
",multi_choice,boolean_text,5,train,3,11214
15825,Look at the following schedule. Rosanne is at Ocean City at 10.45 A.M. How soon can she get to Fisherman's Cove?,"['12:15 P.M.', '1:30 P.M.', '12:45 P.M.', '9:30 A.M.']",12:45 P.M.,,Tour boat schedule,"Whale Watch Harbor | 8:15 A.M. | 8:30 A.M. | 9:00 A.M. | 9:30 A.M. | 9:45 A.M.
Ocean City | 9:45 A.M. | 10:00 A.M. | 10:30 A.M. | 11:00 A.M. | 11:15 A.M.
Fisherman's Cove | 11:30 A.M. | 11:45 A.M. | 12:15 P.M. | 12:45 P.M. | 1:00 P.M.
Sea Town | 12:15 P.M. | 12:30 P.M. | 1:00 P.M. | 1:30 P.M. | 1:45 P.M.","{'Column 1': ['Whale Watch Harbor', 'Ocean City', ""Fisherman's Cove"", 'Sea Town'], 'Column 2': ['8:15 A.M.', '9:45 A.M.', '11:30 A.M.', '12:15 P.M.'], 'Column 3': ['8:30 A.M.', '10:00 A.M.', '11:45 A.M.', '12:30 P.M.'], 'Column 4': ['9:00 A.M.', '10:30 A.M.', '12:15 P.M.', '1:00 P.M.'], 'Column 5': ['9:30 A.M.', '11:00 A.M.', '12:45 P.M.', '1:30 P.M.'], 'Column 6': ['9:45 A.M.', '11:15 A.M.', '1:00 P.M.', '1:45 P.M.']}",4,6,"Look at the row for Ocean City. Find the next boat departing from Ocean City after 10:45 A. M. This boat departs from Ocean City at 11:00 A. M.

Look down the column until you find the row for Fisherman's Cove.

Rosanne will get to Fisherman's Cove at 12:45 P. M.",multi_choice,extractive_text,4,train,4,13691
28013,The teachers at a middle school counted how many computers they had in their classrooms. What is the mean of the numbers?,,9,,Computers in classrooms,"Teacher | Number of computers
Mrs. Tan | 4
Mr. Watson | 9
Ms. Cohen | 11
Mr. Lim | 6
Ms. Rojas | 3
Mrs. Jansen | 7
Mrs. Rossi | 16
Mr. Schmidt | 16","{'Teacher': ['Mrs. Tan', 'Mr. Watson', 'Ms. Cohen', 'Mr. Lim', 'Ms. Rojas', 'Mrs. Jansen', 'Mrs. Rossi', 'Mr. Schmidt'], 'Number of computers': ['4', '9', '11', '6', '3', '7', '16', '16']}",9,2,"Read the numbers from the table.

4, 9, 11, 6, 3, 7, 16, 16

First, count how many numbers are in the group.

There are 8 numbers.

Now add all the numbers together:

4 + 9 + 11 + 6 + 3 + 7 + 16 + 16 = 72

Now divide the sum by the number of numbers:

72 ÷ 8 = 9

The mean is 9.",free_text,integer_number,5,train,0,15575
25872,"Abby kept track of the number of games her soccer team won each year. According to the table, what was the rate of change between 2007 and 2008?",,-5,games per year,Games won by Abby's soccer team,"Year | Games won
2006 | 7
2007 | 40
2008 | 35
2009 | 47
2010 | 48","{'Year': ['2006', '2007', '2008', '2009', '2010'], 'Games won': ['7', '40', '35', '47', '48']}",6,2,"Plug the numbers into the formula for rate of change and simplify.
Rate of change
 = \frac{change in value}{change in time}
 = \frac{35 games - 40 games}{2008 - 2007}
 = \frac{35 games - 40 games}{1 year}
 = \frac{-5 games}{1 year}
 = -5 games per year
The rate of change between 2007 and 2008 was - 5 games per year.",free_text,integer_number,8,train,1,6197
34056,How much money does Lily need to buy 6 Mustang horses and 6 Clydesdale horses?,,"90,360",$,,"Palomino horse | $4,169
Quarter horse | $3,003
Mustang horse | $7,845
Pinto horse | $1,034
Arabian horse | $3,916
Clydesdale horse | $7,215","{'Column 1': ['Palomino horse', 'Quarter horse', 'Mustang horse', 'Pinto horse', 'Arabian horse', 'Clydesdale horse'], 'Column 2': ['$4,169', '$3,003', '$7,845', '$1,034', '$3,916', '$7,215']}",6,2,"Find the cost of 6 Mustang horses.

$7,845 × 6 = $47,070

Find the cost of 6 Clydesdale horses.

$7,215 × 6 = $43,290

Now find the total cost.

$47,070 + $43,290 = $90,360

Lily needs $90,360.",free_text,integer_number,8,train,2,1635
27945,The table shows a function. Is the function linear or nonlinear?,"['linear', 'nonlinear']",linear,,,"x | y
2 | 15
3 | 8
4 | 1","{'x': ['2', '3', '4'], 'y': ['15', '8', '1']}",4,2,"To determine whether the function is linear or nonlinear, see whether it has a constant rate of change.
Pick the points in any two rows of the table and calculate the rate of change between them. The first two rows are a good place to start.
Call the values in the first row x1 and y1. Call the values in the second row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{8 - 15}{3 - 2}
 = \frac{-7}{1}
 = -7
Now pick any other two rows and calculate the rate of change between them.
Call the values in the second row x1 and y1. Call the values in the third row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{1 - 8}{4 - 3}
 = \frac{-7}{1}
 = -7
The two rates of change are the same.
7.
This means the rate of change is the same for each pair of points. So, the function has a constant rate of change.
The function is linear.",multi_choice,boolean_text,8,train,3,13051
